('8e66dea62a914ba69e48c534c705574e', '2020-09-12T00:00:25.920Z', 'http://example.com/?url=091', 'user-028', 'ER', 'Chrome', 'Mac', 501, 0.6975)
('7db4ab8686074b359ed88839a1c800d8', '2020-09-12T00:08:12.480Z', 'http://example.com/?url=179', 'user-057', 'KH', 'Safari', 'Linux', 507, 0.2800')
('3aee96fcaf6544399e2fa6e8d07f5997', '2020-09-12T00:08:38.400Z', 'http://example.com/?url=174', 'user-067', 'GT', 'Safari', 'windows', 406, 0.6193)
('c295fb30bd7649189eff3d72b291ffbd', '2020-09-12T00:09:04.320Z', 'http://example.com/?url=094', 'user-097', 'CR', 'Safari', 'Linux', 511, 0.6915)
('97be9a78c3c8450187bd9d6dace8cde2', '2020-09-12T00:09:30.240Z', 'http://example.com/?url=075', 'user-008', 'AF', 'Firefox', 'windows', 205, 0.2333)
('33fc8bd7f44e4e8aa40efc5ad19cc93f', '2020-09-12T00:09:56.160Z', 'http://example.com/?url=042', 'user-016', 'HM', 'Chrome', 'IOS', '303', '0.9359')
('50f1d305ad12431abeeb67ecd56fcca8', '2020-09-12T00:10:22.080Z', 'http://example.com/?url=160', 'user-069', 'NO', 'Chrome', 'IOS', '411', '0.4274')
('7e77b7ce04dc415790fd86a88f3a7bf0', '2020-09-12T00:10:48Z, 'http://example.com/?url=019', 'user-080', 'KP', 'Opera', 'IOS', '506', '0.0921')
('c02f6d9a7b1547f680cf9b9d34edad87', '2020-09-12T00:11:13.920Z', 'http://example.com/?url=118', 'user-061', 'BW', 'IE', 'Android', '428', '0.9931)
('527a90b1df974a7084c6186b8f8d78b5', '2020-09-12T00:11:39.840Z', 'http://example.com/?url=083', 'user-093', 'PN', 'Chrome', 'Android', '508', '0.5927')
('1befe516a4c44830872027aa0085593e', '2020-09-12T00:12:05.760Z', 'http://example.com/?url=035', 'user-041', 'NI', 'Firefox', 'IOS', '207', '0.0436')
('b66e08bda25942219aea2b8f7dc836c4', '2020-09-12T00:12:31.680Z', 'http://example.com/?url=091', 'user-071', 'TK', 'Safari', 'Android', '599', '0.4955')
('971dfca0422444c5b2486e3757d7f0a1', '2020-09-12T00:12:57.600Z', 'http://example.com/?url=181', 'user-042', 'MM', 'Opera', 'windows', '201', '0.9249')
('d693c96da80e4642940538bff7e75844', '2020-09-12T00:13:23.520Z', 'http://example.com/?url=084', 'user-069', 'SI', 'Firefox', 'IOS', '205', '0.0921')
('5c14209d1cd14b0da23a3f6f716b61bd', '2020-09-12T00:13:49.440Z', 'http://example.com/?url=080', 'user-038', 'NF', 'IE', 'IOS', '412', '0.3540')
('0a2de1c59ab84cfcb59656b1ebdd0077', '2020-09-12T00:14:15.360Z', 'http://example.com/?url=162', 'user-067', 'AT', 'Firefox', 'Linux', '426', '0.1012')
('d7d20ff4ce03412398534386dcfa0185', '2020-09-12T00:14:41.280Z', 'http://example.com/?url=164', 'user-069', 'KP', 'Firefox', 'windows', '500', '0.5031')
('351ee9e4614741e3ab96f6d271a5c716', '2020-09-12T00:15:07.200Z', 'http://example.com/?url=046', 'user-093', 'AQ', 'Firefox', 'Android', '502', '0.9521')
('82a7ad8a614a4a88b46e1042e4f15620', '2020-09-12T00:15:33.120Z', 'http://example.com/?url=076', 'user-022', 'SS', 'Firefox', 'Android', '451', '0.7766')
('484727050f234ae582340d1633a7b1ad', '2020-09-12T00:15:59.040Z', 'http://example.com/?url=010', 'user-096', 'HT', 'Edge', 'windows', '404', '0.2088')
('2ad1557436a94aa59bc5434687c28edf', '2020-09-12T00:16:24.960Z', 'http://example.com/?url=120', 'user-021', 'TT', 'Opera', 'Mac', '410', '0.3184')
('1633f9d3f639494f93e90f41b03d3965', '2020-09-12T00:16:50.880Z', 'http://example.com/?url=138', 'user-093', 'AI', 'Safari', 'Mac', '418', '0.7483')
('7fd3bf11b7ee43e4abc29a27d0b172a7', '2020-09-12T00:17:16.800Z', 'http://example.com/?url=084', 'user-096', 'WS', 'Edge', 'Android', '422', '0.2392')
('b84f560660a74c90946b0c99762603d1', '2020-09-12T00:17:42.720Z', 'http://example.com/?url=071', 'user-004', 'ET', 'Opera', 'Android', '423', '0.5377')
('d98987db2dbf4bf8ad6c710e888cccd9', '2020-09-12T00:18:08.640Z', 'http://example.com/?url=101', 'user-002', 'BV', 'Firefox', 'Android', '506', '0.4436')
('56c36c2a02124f43992486a2194cbdaf', '2020-09-12T00:18:34.560Z', 'http://example.com/?url=129', 'user-089', 'BE', 'Opera', 'Linux', '207', '0.5455')
('9c92ba0896ea40dcb9a5ee9c97dc308f', '2020-09-12T00:19:00.480Z', 'http://example.com/?url=037', 'user-009', 'MW', 'Chrome', 'windows', '400', '0.6924')
('1f5d6081d6d44331b40302a020d9f7da', '2020-09-12T00:19:26.400Z', 'http://example.com/?url=064', 'user-027', 'DJ', 'Edge', 'IOS', '418', '0.9155')
('ca7c800a4106467984d640de601d7dbc', '2020-09-12T00:19:52.320Z', 'http://example.com/?url=163', 'user-033', 'AR', 'Edge', 'windows', '200', '0.0074')
('2db08636d5f44c26b99a501533e514e1', '2020-09-12T00:20:18.240Z', 'http://example.com/?url=032', 'user-075', 'CD', 'Firefox', 'windows, '503, '0.4710)
('2dbb6b3f02fb43229cec3c8b28f2abe0', '2020-09-12T00:20:44.160Z', 'http://example.com/?url=016', 'user-045', 'BB', 'Chrome', 'IOS', '505', '0.0338')
('cafabb8700ff4996959c37c6d3557a47', '2020-09-12T00:21:10.080Z', 'http://example.com/?url=028', 'user-042', 'GU', 'Opera', 'IOS', '508', '0.1552')
('ef08ec5106cb4e6fa71198719998b204', '2020-09-12T00:21:36Z', 'http://example.com/?url=102', 'user-092, 'HM', 'Chrome', 'Mac', '422', '0.4000')
